month,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202301,26.722745625841185,31.663526244952894,32.74966352624495,36.10834454912517,31.604306864064604,34.85935397039031,36.42530282637954,30.531628532974427,37.10901749663526,25.93606998654105,28.07537012113055,32.30417227456258,24.522880215343204,21.18707940780619,13.7907133243607,16.657469717362044,17.561238223418574,20.191117092866758,15.87550471063257,23.100269179004037,16.5114401076716,22.10094212651413,19.086810228802154,23.52893674293405,20.413189771197846,35.32032301480484,34.0228802153432,38.07671601615074,34.4414535666218,37.00336473755047,36.64131897711979,24.286675639300135,22.200538358008075,33.34185733512786,21.951547779273216
202302,39.63622526636225,39.445205479452056,41.1248097412481,44.8675799086758,41.1986301369863,44.46042617960426,45.38203957382039,39.44292237442922,50.983257229832574,36.35768645357687,39.32267884322679,41.4337899543379,29.854642313546425,29.615677321156774,18.573059360730593,24.380517503805176,24.39041095890411,29.34170471841705,23.80821917808219,30.815829528158297,20.828006088280063,27.04718417047184,29.121765601217657,34.00380517503805,29.491628614916287,42.69025875190259,41.86225266362253,46.462709284627095,44.25038051750381,47.08980213089802,44.95738203957382,32.81126331811263,33.3310502283105,40.91248097412481,26.0
202303,37.48079561042524,36.22633744855967,38.458161865569274,39.22222222222222,41.45610425240055,40.92798353909465,44.027434842249654,36.914951989026065,44.71467764060357,30.757887517146777,36.68312757201646,38.305898491083674,22.517832647462278,26.227709190672154,15.901920438957475,21.344307270233195,23.820987654320987,23.98148148148148,21.42729766803841,32.49519890260631,21.454732510288064,24.328532235939644,22.948559670781894,31.248285322359397,28.536351165980797,40.0480109739369,39.205075445816185,37.578875171467764,37.040466392318244,41.84636488340192,39.117283950617285,31.617283950617285,33.167352537722905,38.50685871056241,18.709876543209877
202304,24.577083333333334,26.499305555555555,25.931944444444444,26.852777777777778,29.302777777777777,29.588194444444444,30.36111111111111,23.102777777777778,32.21944444444444,21.325694444444444,26.68125,27.45277777777778,17.20486111111111,20.31597222222222,12.795833333333333,14.64861111111111,16.1875,20.03611111111111,15.313888888888888,22.09513888888889,15.315277777777778,16.741666666666667,15.504166666666666,23.03472222222222,22.533333333333335,29.74375,26.249305555555555,26.855555555555554,24.430555555555557,30.036805555555556,27.269444444444446,23.84375,23.23611111111111,29.663888888888888,13.988194444444444
202305,23.879704301075268,24.267473118279568,26.396505376344088,25.379704301075268,30.053091397849464,28.348790322580644,29.452956989247312,20.5497311827957,27.56048387096774,15.055779569892474,26.736559139784948,23.905241935483872,8.285618279569892,19.554435483870968,11.102822580645162,14.336693548387096,14.619623655913978,17.308467741935484,13.858870967741936,19.065860215053764,12.714381720430108,13.079301075268818,12.429435483870968,19.961693548387096,19.954301075268816,27.10483870967742,26.395833333333332,25.557795698924732,23.04032258064516,24.979166666666668,26.099462365591396,21.74462365591398,20.548387096774192,28.873655913978496,14.013440860215054
202306,19.29722222222222,25.586805555555557,23.272222222222222,21.165972222222223,28.54375,24.649305555555557,27.822222222222223,20.491666666666667,24.068055555555556,18.386805555555554,22.091666666666665,21.291666666666668,16.233333333333334,16.144444444444446,8.065972222222221,13.415277777777778,15.01875,14.077777777777778,10.591666666666667,16.80625,10.918055555555556,11.588888888888889,12.653472222222222,16.80763888888889,16.565277777777776,21.856944444444444,19.568055555555556,21.136111111111113,21.040277777777778,26.72361111111111,23.90972222222222,17.495833333333334,17.330555555555556,25.281944444444445,12.54861111111111
202307,17.334005376344088,21.056451612903224,17.73521505376344,22.578629032258064,25.751344086021504,20.730510752688172,22.524193548387096,13.446908602150538,17.384408602150536,15.084677419354838,18.021505376344088,14.591397849462366,14.829301075268818,11.541975443185121,6.849462365591398,10.964381720430108,10.481854838709678,13.279569892473118,8.629704301075268,13.82258064516129,9.52486559139785,8.329301075268818,11.210349462365592,14.425403225806452,14.611559139784946,16.23340570719603,14.801747311827956,17.643145161290324,19.405913978494624,20.219758064516128,18.818548387096776,13.073924731182796,11.176075268817204,21.379032258064516,9.393145161290322
202308,19.684139784946236,19.871639784946236,20.00739247311828,19.155913978494624,24.879032258064516,22.372311827956988,23.926075268817204,12.897849462365592,16.278225806451612,12.96975806451613,17.669354838709676,15.098790322580646,16.043010752688172,6.758427782621331,8.040322580645162,10.536290322580646,9.604166666666666,11.23521505376344,7.399865591397849,13.421370967741936,7.870967741935484,7.009408602150538,7.747311827956989,14.229166666666666,14.78494623655914,16.94871794871795,19.135080645161292,17.384408602150536,17.946908602150536,20.758064516129032,18.25537634408602,12.35483870967742,3.0,19.495295698924732,8.733870967741936
202309,28.25347222222222,26.233333333333334,25.780555555555555,29.50347222222222,33.0375,32.12708333333333,32.915277777777774,19.018055555555556,28.819444444444443,15.170833333333333,27.8125,24.931944444444444,20.04722222222222,7.0,8.168055555555556,13.379861111111111,11.233333333333333,13.768055555555556,10.852777777777778,21.808333333333334,10.613888888888889,11.231944444444444,10.010416666666666,23.360416666666666,21.27986111111111,28.385416666666668,34.43541666666667,29.834027777777777,27.786805555555556,30.6125,25.585416666666667,18.507638888888888,3.0,31.040972222222223,12.285416666666666
202310,38.98588709677419,33.918010752688176,39.02620967741935,41.206989247311824,44.95228494623656,43.85618279569893,40.964381720430104,26.912634408602152,41.40524193548387,29.776209677419356,37.64650537634409,40.733198924731184,14.794354838709678,7.0,13.75739247311828,20.918682795698924,19.739247311827956,18.64717741935484,15.540322580645162,34.296370967741936,19.077956989247312,21.477150537634408,20.422043010752688,32.14650537634409,31.193548387096776,42.25,46.11290322580645,41.78965053763441,38.10349462365591,43.62231182795699,35.454301075268816,26.701612903225808,3.0,42.024193548387096,20.4502688172043
