date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,0.5625,0.8624999999999999,0.7625000000000001,0.8875000000000001,0.5958333333333333,0.5791666666666667,0.8416666666666667,0.8125,,0.7083333333333334,0.5750000000000001,0.7833333333333333,1.0,1.0291666666666666,0.6333333333333333,1.4083333333333332,0.7374999999999999,0.7041666666666666,0.6916666666666668,0.5375,0.5958333333333333,0.6833333333333332,0.8166666666666668,0.46249999999999997,0.7708333333333334,0.4041666666666666,0.8458333333333333,1.1500000000000001,1.0,0.7833333333333333,0.9,0.8291666666666666,0.8041666666666667,1.3499999999999999,1.0625,1.6000000000000003,1.3,1.7,1.3999999999999997,2.6,1.3999999999999997,1.5,1.3,1.3999999999999997,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8000000000000002,1.2,1.1,1.3,0.8000000000000002,1.2,1.3999999999999997,0.8000000000000002,1.0,1.7,1.3,2.2,1.2,1.2
20210102,1.308695652173913,1.4391304347826088,1.3043478260869565,1.308695652173913,1.2391304347826086,1.2043478260869565,1.2739130434782608,1.1434782608695653,,1.5521739130434784,1.1434782608695653,1.1695652173913043,1.565217391304348,1.4869565217391305,1.3304347826086957,1.4260869565217391,1.0347826086956522,0.9478260869565218,1.126086956521739,0.8826086956521739,0.9304347826086956,0.7869565217391304,0.5130434782608696,0.8434782608695651,0.43043478260869567,0.5391304347826087,1.108695652173913,1.5304347826086957,1.7,1.4217391304347828,1.2826086956521738,1.2869565217391306,1.4913043478260868,1.4782608695652173,1.408695652173913,1.6,1.3,1.7,1.4,2.6,1.4,1.5,1.3,1.4,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8,1.2,1.1,1.3,0.8,1.2,1.4,0.8,1.0,1.7,1.3,2.2,1.2,1.2
20210103,0.39999999999999997,0.45,0.46249999999999997,0.4458333333333333,0.3958333333333333,0.39166666666666666,0.49166666666666664,0.5499999999999999,,0.5083333333333334,0.3875,0.5,1.0958333333333334,0.5125000000000001,0.42083333333333334,0.4791666666666667,0.35833333333333334,0.4583333333333333,0.5708333333333333,0.4291666666666667,0.35000000000000003,0.2833333333333333,0.44166666666666665,0.44583333333333336,0.4458333333333333,0.24166666666666667,0.44583333333333336,0.47500000000000003,0.9291666666666667,0.8791666666666668,0.3458333333333334,0.41250000000000003,0.6791666666666667,0.5208333333333334,0.5166666666666667,1.6000000000000003,1.3,1.7,1.3999999999999997,2.6,1.3999999999999997,1.5,1.3,1.3999999999999997,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8000000000000002,1.2,1.1,1.3,0.8000000000000002,1.2,1.3999999999999997,0.8000000000000002,1.0,1.7,1.3,2.2,1.2,1.2
20210104,0.43478260869565216,0.4434782608695652,0.49391304347826087,0.43913043478260866,0.5391304347826087,0.4652173913043478,0.45652173913043476,0.5086956521739131,,0.46956521739130436,0.3565217391304348,0.4826086956521739,0.7391304347826086,0.6304347826086957,0.46956521739130436,0.5869565217391305,0.391304347826087,0.39565217391304347,0.5043478260869565,0.34782608695652173,0.34782608695652173,0.38913043478260867,0.5304347826086956,0.36086956521739133,0.391304347826087,0.3304347826086957,0.45217391304347826,0.6130434782608696,0.7695652173913043,0.6956521739130435,0.4043478260869566,0.4956521739130435,0.5304347826086956,0.5217391304347826,0.5956521739130435,1.6,1.3,1.7,1.4,2.6,1.4,1.5,1.3,1.4,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8,1.2,1.1,1.3,0.8,1.2,1.4,0.8,1.0,1.7,1.3,2.2,1.2,1.2
20210105,0.3,0.3318181818181818,0.41545454545454547,0.34545454545454546,0.3227272727272727,0.4318181818181818,0.38636363636363635,0.30454545454545456,,0.3772727272727273,0.3090909090909091,0.4272727272727273,0.7272727272727273,0.45909090909090905,0.25,0.3318181818181818,0.2545454545454546,0.32727272727272727,0.39545454545454545,0.3727272727272727,0.30454545454545456,0.36363636363636365,0.3227272727272727,0.2818181818181818,0.5545454545454546,0.2863636363636364,0.29090909090909095,0.16818181818181818,0.3409090909090909,0.33636363636363636,0.3181818181818182,0.5136363636363636,0.4318181818181818,0.4,0.3772727272727273,1.6,1.3,1.7,1.4,2.6,1.4,1.5,1.3,1.4,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8,1.2,1.1,1.3,0.8,1.2,1.4,0.8,1.0,1.7,1.3,2.2,1.2,1.2
20210106,0.25,0.35833333333333334,0.25625000000000003,0.32083333333333336,0.24375000000000002,0.3729166666666666,0.26875,0.29583333333333334,,0.3666666666666667,0.24166666666666667,0.2708333333333333,0.5791666666666667,0.46249999999999997,0.33749999999999997,0.23750000000000002,0.25,0.25416666666666665,0.3125,0.30833333333333335,0.225,0.22916666666666666,0.21250000000000002,0.21666666666666667,0.30416666666666664,0.23333333333333336,0.2625,0.1875,0.28750000000000003,0.33749999999999997,0.22916666666666666,0.23750000000000002,0.34375,0.3083333333333333,0.24166666666666667,1.6000000000000003,1.3,1.7,1.3999999999999997,2.6,1.3999999999999997,1.5,1.3,1.3999999999999997,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8000000000000002,1.2,1.1,1.3,0.8000000000000002,1.2,1.3999999999999997,0.8000000000000002,1.0,1.7,1.3,2.2,1.2,1.2
20210107,0.32727272727272727,0.45454545454545453,0.2681818181818182,0.3090909090909091,0.2318181818181818,0.5363636363636364,0.3,0.2931818181818182,,0.4681818181818182,0.2727272727272727,0.29545454545454547,0.5636363636363636,0.6090909090909091,0.5272727272727272,0.30454545454545456,0.30454545454545456,0.29090909090909095,0.21363636363636365,0.4,0.19090909090909092,0.2545454545454545,0.25227272727272726,0.23181818181818184,0.5318181818181817,0.31136363636363634,0.24545454545454548,0.24545454545454548,0.3772727272727273,0.5340909090909091,0.23181818181818184,0.2090909090909091,0.4227272727272728,0.3318181818181818,0.2772727272727273,1.6,1.3,1.7,1.4,2.6,1.4,1.5,1.3,1.4,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8,1.2,1.1,1.3,0.8,1.2,1.4,0.8,1.0,1.7,1.3,2.2,1.2,1.2
20210108,0.20869565217391303,0.29130434782608694,0.1956521739130435,0.3282608695652174,0.15869565217391307,0.20869565217391303,0.20434782608695654,0.20869565217391303,,0.3021739130434783,0.3826086956521739,0.31956521739130433,0.773913043478261,0.4652173913043478,0.42173913043478256,0.35434782608695653,0.27391304347826084,0.20434782608695654,0.10217391304347827,0.22608695652173913,0.2608695652173913,0.2956521739130435,0.14130434782608695,0.20434782608695654,0.1565217391304348,0.16086956521739132,0.21304347826086958,0.28695652173913044,0.6130434782608696,0.34347826086956523,0.26956521739130435,0.3782608695652174,0.26956521739130435,0.5,0.2,1.6,1.3,1.7,1.4,2.6,1.4,1.5,1.3,1.4,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8,1.2,1.1,1.3,0.8,1.2,1.4,0.8,1.0,1.7,1.3,2.2,1.2,1.2
20210109,0.225,0.19166666666666668,0.24166666666666667,0.3125,0.21250000000000002,0.19444444444444445,0.25,0.2541666666666667,,0.19166666666666668,0.2625,0.30833333333333335,0.6958333333333333,0.3520833333333333,0.30416666666666664,0.425,0.3625,0.27499999999999997,0.2041666666666667,0.18333333333333335,0.30416666666666664,0.375,0.3,0.24166666666666667,0.23750000000000002,0.17916666666666667,0.29583333333333334,0.2791666666666667,0.6833333333333332,0.47500000000000003,0.3166666666666667,0.32916666666666666,0.3416666666666666,0.525,0.27499999999999997,1.6000000000000003,1.3,1.7,1.3999999999999997,2.6,1.3999999999999997,1.5,1.3,1.3999999999999997,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8000000000000002,1.2,1.1,1.3,0.8000000000000002,1.2,1.3999999999999997,0.8000000000000002,1.0,1.7,1.3,2.2,1.2,1.2
20210110,0.24583333333333335,0.28750000000000003,0.2916666666666667,0.27291666666666664,0.23750000000000002,0.23472222222222225,0.25,0.2520833333333333,,0.26458333333333334,0.15833333333333335,0.28750000000000003,0.35833333333333334,0.25833333333333336,0.29583333333333334,0.3229166666666667,0.24166666666666667,0.3,0.22916666666666666,0.2708333333333333,0.31666666666666665,0.3458333333333334,0.19166666666666668,0.24583333333333335,0.325,0.17500000000000002,0.30624999999999997,0.2125,0.35000000000000003,0.27499999999999997,0.24583333333333335,0.26666666666666666,0.5270833333333333,0.39166666666666666,0.2833333333333333,1.6000000000000003,1.3,1.7,1.3999999999999997,2.6,1.3999999999999997,1.5,1.3,1.3999999999999997,1.0,1.5,1.0,1.2,1.0,1.1,1.3,1.5,0.9,1.0,1.2,1.0,0.8000000000000002,1.2,1.1,1.3,0.8000000000000002,1.2,1.3999999999999997,0.8000000000000002,1.0,1.7,1.3,2.2,1.2,1.2
